from,tx_count,tx_per_day,total_out_wei,unique_receivers,gas_price_mean,gas_price_std,gas_price_max,gap_mean,gap_std,gap_min,gap_max
0x006ea2e21dc8bdd63366b4c40872bcaf0a0c2963,1,1.0,100000000000000000,1,30000000000.0,,30000000000,0.0,0.0,0.0,0.0
0x094f8f4b733947b71ef8790315a0c4c6510fb596,1,1.0,0,1,30000000015.0,,30000000015,0.0,0.0,0.0,0.0
0x0d779794d3e713a7e3865559c2180614b781d897,2,2.0,300000000000000000,2,2500000015.0,0.0,2500000015,38.0,0.0,38.0,38.0
0x0e8785a63852b789256ce69fc8c2a53cddbb6b27,6,6.0,0,5,264507575767.83334,257479214310.20428,550000000016,83.2,95.02210269195268,12.0,248.0
0x12661a7d654eb82d06b9b92bf8f9021c188a58bb,1,1.0,199968499999685000,1,1500000015.0,,1500000015,0.0,0.0,0.0,0.0
0x1274bb89ee5b7fafb5a725db6ef37d475d2f3eb8,1,1.0,0,1,399931818197.0,,399931818197,0.0,0.0,0.0,0.0
0x1633b8595ed0847993801600c68e635fb32724d7,1,1.0,0,0,40000000000.0,,40000000000,0.0,0.0,0.0,0.0
0x16b6bd022270ee03ed82c727139d8f5a26216949,1,1.0,0,1,550000000016.0,,550000000016,0.0,0.0,0.0,0.0
0x17de685c3b0ed388286569df3f4bb43f158f6f11,1,1.0,0,1,8875000016.0,,8875000016,0.0,0.0,0.0,0.0
0x1b0122571a6f87486f42f9eb9d17bf23749364e1,1,1.0,189499999999685000,1,500000000015.0,,500000000015,0.0,0.0,0.0,0.0
0x1d6767de0b07bc0018e195e18bbf2e9c212a2262,1,1.0,0,1,2352250015.0,,2352250015,0.0,0.0,0.0,0.0
0x1e9daeda680917002fd9714873f2cae4ac6d4098,1,1.0,0,1,550000000016.0,,550000000016,0.0,0.0,0.0,0.0
0x2031832e54a2200bf678286f560f49a950db2ad5,6,6.0,2700000000000000000,6,1000000000030.0,0.0,1000000000030,68.4,86.01627752931418,24.0,222.0
0x22598eb0ebd7c4247f8fbeb7da7aac11ab7bfa8c,3,3.0,0,3,122911363651.0,210290650433.77243,365734090923,45.0,43.840620433565945,14.0,76.0
0x25da537a62c173eeb2756cb84845bd8f9e263c53,1,1.0,0,1,550000000016.0,,550000000016,0.0,0.0,0.0,0.0
0x264e1f7447a2e6bb65e2fd4ec4c09af6d0f17f75,1,1.0,100000000000000000,1,30000000000.0,,30000000000,0.0,0.0,0.0,0.0
0x2965f1201d771f0a0f70e9b9f180a65f436fffad,1,1.0,199970389999685000,1,1410000015.0,,1410000015,0.0,0.0,0.0,0.0
0x2ce05058ff5a8a0d97aeff92064eedd377df6f03,1,1.0,0,1,1500000015.0,,1500000015,0.0,0.0,0.0,0.0
0x32df61d9074e3a1c63fcfdb034c12c58c4e75e3d,4,4.0,0,3,271375000011.75,311495151117.566,575000000017,62.666666666666664,78.29005896876905,6.0,152.0
